epoch,q_loss,p_loss,rewards
159,37.69444001960754,-123.8690110168457,[{'rewards': np.float64(44.46755682928183)}]
160,37.47589197254181,-123.84341722869873,[{'rewards': np.float64(42.766425650871845)}]
161,47.772363306045534,-132.9487618408203,[{'rewards': np.float64(43.11035125043177)}]
162,44.6769033870697,-133.2307458190918,[{'rewards': np.float64(47.99489173757526)}]
163,44.173009592056275,-133.18577359008788,[{'rewards': np.float64(42.0902336406829)}]
164,43.91472564506531,-133.1437219924927,[{'rewards': np.float64(43.95510634675874)}]
165,43.710143478393555,-133.10915558624268,[{'rewards': np.float64(48.42303414384067)}]
166,55.57278940010071,-142.62828034973145,[{'rewards': np.float64(42.35347130990279)}]
167,52.09122533798218,-142.91672761535645,[{'rewards': np.float64(47.04719580904009)}]
168,51.50137089729309,-142.8815859680176,[{'rewards': np.float64(46.27105409551308)}]
169,51.12868773460388,-142.84793510437012,[{'rewards': np.float64(39.190547812153795)}]
170,50.84330470085144,-142.81780059814454,[{'rewards': np.float64(42.4230636397844)}]
171,64.7800064945221,-152.78058283996583,[{'rewards': np.float64(45.60610270433146)}]
172,61.14732450866699,-153.08656030273437,[{'rewards': np.float64(40.101521994603715)}]
173,60.42805264854431,-153.05295681762695,[{'rewards': np.float64(46.341023230449515)}]
174,59.96005480575562,-153.01550526428224,[{'rewards': np.float64(44.95048790047298)}]
175,59.62083479499817,-152.98174645996093,[{'rewards': np.float64(42.08940750636943)}]
176,75.7554422302246,-163.42950744628905,[{'rewards': np.float64(49.47283948430686)}]
177,71.30399868392945,-163.7718992462158,[{'rewards': np.float64(37.73968988363389)}]
178,70.52509812164307,-163.73933467102052,[{'rewards': np.float64(45.705801639579995)}]
179,70.0220214214325,-163.7078748626709,[{'rewards': np.float64(49.67393417209337)}]
180,69.64274571609496,-163.67703082275392,[{'rewards': np.float64(48.580140633369524)}]
181,88.97029135894775,-174.61900260925293,[{'rewards': np.float64(45.523174430166414)}]
182,83.79188753318786,-174.99054946899415,[{'rewards': np.float64(47.74215930527485)}]
183,82.81134863471985,-174.9680802307129,[{'rewards': np.float64(41.67570245234993)}]
184,82.17567937278747,-174.94468669128418,[{'rewards': np.float64(45.46595847054809)}]
185,81.72986391448974,-174.9234693145752,[{'rewards': np.float64(43.36450368087164)}]
186,104.57264795684814,-186.48583567810059,[{'rewards': np.float64(42.60978526520222)}]
187,98.68629291915893,-186.91957856750489,[{'rewards': np.float64(48.88301302454095)}]
188,97.57909213638305,-186.88309477233886,[{'rewards': np.float64(44.76211902475329)}]
189,96.87893671798706,-186.83805805969237,[{'rewards': np.float64(44.25476243734467)}]
190,96.36594089126586,-186.79773651123048,[{'rewards': np.float64(45.57945133914873)}]
191,122.95356108856201,-198.96761767578124,[{'rewards': np.float64(44.9138511325674)}]
192,116.35292940521241,-199.44983013916016,[{'rewards': np.float64(47.20305042827773)}]
193,115.11254197311402,-199.4180072631836,[{'rewards': np.float64(39.72655253928309)}]
194,114.34563085174561,-199.36766830444336,[{'rewards': np.float64(44.3288393745698)}]
195,113.78497618484496,-199.3214894104004,[{'rewards': np.float64(41.42173459216265)}]
196,145.02260501861574,-212.15307513427734,[{'rewards': np.float64(48.34984848534762)}]
197,137.53604975891113,-212.67092990112306,[{'rewards': np.float64(41.27780481609968)}]
198,136.09248738479613,-212.64667878723145,[{'rewards': np.float64(46.36693414748235)}]
199,135.23086445617676,-212.59608882141114,[{'rewards': np.float64(45.04781109849293)}]
200,134.60602713394164,-212.54499650573732,[{'rewards': np.float64(45.003365596852646)}]
201,170.80590869140624,-226.08154396057128,[{'rewards': np.float64(42.22797987897375)}]
202,162.39218534469603,-226.62429576110839,[{'rewards': np.float64(45.473248723331004)}]
203,160.9015973739624,-226.5933829650879,[{'rewards': np.float64(46.197682883694306)}]
204,159.96020324325562,-226.53573403930665,[{'rewards': np.float64(40.6959150862064)}]
205,159.29964595031737,-226.4743675842285,[{'rewards': np.float64(43.6371279854439)}]
206,200.40176272583008,-240.73592683410644,[{'rewards': np.float64(41.900083610277676)}]
207,190.79008657836914,-241.321973739624,[{'rewards': np.float64(43.14863822917781)}]
208,189.11112550354005,-241.29008087158203,[{'rewards': np.float64(43.28807417673904)}]
209,188.13145379638672,-241.22937351989745,[{'rewards': np.float64(42.29824489687785)}]
210,187.408805557251,-241.1644828338623,[{'rewards': np.float64(44.377229573462046)}]
211,234.1633286819458,-256.1180629272461,[{'rewards': np.float64(42.68901016454935)}]
212,223.36405599212645,-256.7244153289795,[{'rewards': np.float64(43.094237682962245)}]
213,221.53390715026856,-256.6819954986572,[{'rewards': np.float64(42.236498671644874)}]
214,220.44362994384767,-256.60945195007326,[{'rewards': np.float64(43.42380390783799)}]
215,219.68428462982178,-256.53651042175295,[{'rewards': np.float64(42.66730102490248)}]
216,272.7328784179688,-272.14679414367674,[{'rewards': np.float64(43.921169744413426)}]
217,260.9663595657349,-272.784107711792,[{'rewards': np.float64(43.93008450627245)}]
218,259.05475675201416,-272.7310902252197,[{'rewards': np.float64(42.73725982903189)}]
219,257.93409693145753,-272.6543659667969,[{'rewards': np.float64(43.42509424303239)}]
220,257.11287706756593,-272.5781446990967,[{'rewards': np.float64(42.567181344369544)}]
221,316.21798781585693,-288.85428173828126,[{'rewards': np.float64(43.37735584693835)}]
222,303.11116471862795,-289.52764147949216,[{'rewards': np.float64(43.34247738058939)}]
223,301.0028514022827,-289.4795956115723,[{'rewards': np.float64(41.21149748042874)}]
224,299.77347631072996,-289.40926193237306,[{'rewards': np.float64(41.130503999462256)}]
225,298.88206148529054,-289.34024609375,[{'rewards': np.float64(40.282526223454134)}]
226,365.3504563598633,-306.3347265319824,[{'rewards': np.float64(42.75276310723321)}]
227,350.7914519958496,-307.0726008300781,[{'rewards': np.float64(39.18946428766637)}]
228,348.43997993469236,-307.0424944458008,[{'rewards': np.float64(39.40608474019517)}]
229,347.1061902923584,-306.9808433227539,[{'rewards': np.float64(39.405270982435816)}]
230,346.19522874450684,-306.912025390625,[{'rewards': np.float64(40.16829922093609)}]
231,420.45297206115725,-324.7074599914551,[{'rewards': np.float64(36.65082811770275)}]
232,404.5308246307373,-325.4886913757324,[{'rewards': np.float64(38.17459243609885)}]
233,402.05386598205564,-325.4429413757324,[{'rewards': np.float64(38.79844406734605)}]
234,400.66494369506836,-325.36858853149414,[{'rewards': np.float64(37.240558970400215)}]
235,399.69793946838377,-325.29360330200194,[{'rewards': np.float64(36.94293064458259)}]
236,482.7644360656738,-343.91745724487305,[{'rewards': np.float64(37.826290820778006)}]
237,465.06790980529786,-344.77653494262694,[{'rewards': np.float64(37.50300141081282)}]
238,462.3492804107666,-344.7369099731445,[{'rewards': np.float64(37.45623722225758)}]
