s1,s2,s3,action,reward,ns1,ns2,ns3,done
0.9854647,0.16988027,0.8868109,-1.353485143621545,-0.10961656,0.9777658,0.20969996,0.81119835,0.0
0.9777658,0.20969996,0.81119835,1.594216754108317,-0.11298001,0.9633299,0.26831973,1.2076058,0.0
0.9633299,0.26831973,1.2076058,0.4257162386383597,-0.21980526,0.94097954,0.3384635,1.4727031,0.0
0.94097954,0.3384635,1.4727031,-1.9632117935334814,-0.33996034,0.9143539,0.40491602,1.432069,0.0
0.9143539,0.40491602,1.432069,-1.5941138285358716,-0.38141808,0.8815226,0.47214186,1.4966389,0.0
0.8815226,0.47214186,1.4966389,0.6540070764322232,-0.466208,0.83140707,0.5556639,1.9488463,0.0
0.83140707,0.5556639,1.9488463,-1.9797536646151253,-0.73083055,0.769593,0.6385347,2.0686312,0.0
0.769593,0.6385347,2.0686312,-1.3567677943300054,-0.90944904,0.68964785,0.7241449,2.344017,0.0
0.68964785,0.7241449,2.344017,0.1949351574663445,-1.2052453,0.5771091,0.816667,2.9163659,0.0
0.5771091,0.816667,2.9163659,0.767580790770773,-1.7643024,0.4195815,0.90771765,3.6440034,0.0
0.4195815,0.90771765,3.6440034,0.6078450380104021,-2.6228619,0.21059719,0.9775729,4.4159684,0.0
0.21059719,0.9775729,4.4159684,-1.1029227621577609,-3.7971165,-0.03699123,0.9993156,4.98371,0.0
-0.03699123,0.9993156,4.98371,0.8487168853901434,-5.0694647,-0.32406655,0.9460343,5.8605037,0.0
-0.32406655,0.9460343,5.8605037,-1.0510036500127997,-7.048776,-0.6056988,0.795694,6.412379,0.0
-0.6056988,0.795694,6.412379,-0.6984012073629291,-9.047145,-0.8392287,0.5437786,6.9043894,0.0
-0.8392287,0.5437786,6.9043894,0.9859656204720966,-11.355773,-0.9796819,0.20055768,7.4601183,0.0
-0.9796819,0.20055768,7.4601183,0.5985315961888587,-14.207328,-0.983286,-0.18206748,7.700316,0.0
-0.983286,-0.18206748,7.700316,1.3968936419767117,-14.684184,-0.84095335,-0.5411076,7.7732997,0.0
-0.84095335,-0.5411076,7.7732997,0.6304515692013735,-12.646889,-0.58586,-0.8104123,7.4620366,0.0
-0.58586,-0.8104123,7.4620366,0.2732344133418865,-10.393928,-0.27748972,-0.9607286,6.8952127,0.0
-0.27748972,-0.9607286,6.8952127,-1.62530092868763,-8.186854,0.015362722,-0.999882,5.930871,0.0
0.015362722,-0.999882,5.930871,-0.5291367877622659,-5.937175,0.26715815,-0.96365273,5.1015887,0.0
0.26715815,-0.96365273,5.1015887,-0.9391905292730982,-4.2944226,0.46385464,-0.88591135,4.237971,0.0
0.46385464,-0.88591135,4.237971,-1.0240414264836657,-2.9818227,0.60784024,-0.79405934,3.4199312,0.0
0.60784024,-0.79405934,3.4199312,1.8920422190097823,-2.0149028,0.723423,-0.6904051,3.108193,0.0
0.723423,-0.6904051,3.108193,-0.4276091013329584,-1.5469875,0.80463463,-0.5937702,2.5262477,0.0
0.80463463,-0.5937702,2.5262477,1.5681862207084531,-1.0448128,0.8678545,-0.49681854,2.316148,0.0
